Timestamp: 2025-10-21T18:25:48.626Z | statusCode: undefined | message: stringsServcie.fetchAllStrings is not a function | details: undefined 
Timestamp: 2025-10-21T18:27:28.735Z | statusCode: undefined | message: stringsServcie.fetchAllStrings is not a function | details: undefined 
Timestamp: 2025-10-21T18:30:48.512Z | statusCode: undefined | message: stringsService.fetchAllStrings is not a function | details: undefined 
Timestamp: 2025-10-21T18:31:32.286Z | statusCode: 400 | message: The type of the query parameters are invalid or some parameters are missing | details: invalid query parameters 
Timestamp: 2025-10-21T18:32:37.981Z | statusCode: 400 | message: The type of the query parameters are invalid or some parameters are missing | details: invalid query parameters 
Timestamp: 2025-10-21T18:33:08.569Z | statusCode: 400 | message: The type of the query parameters are invalid or some parameters are missing | details: invalid query parameters 
Timestamp: 2025-10-21T18:35:28.093Z | statusCode: undefined | message: Cannot read properties of undefined (reading 'get') | details: undefined 
Timestamp: 2025-10-21T18:35:28.251Z | statusCode: undefined | message: Cannot read properties of undefined (reading 'get') | details: undefined 
Timestamp: 2025-10-21T18:36:23.430Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-21T18:40:05.047Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-21T18:42:34.507Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-21T19:06:21.082Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-21T19:07:18.757Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-21T19:08:24.456Z | statusCode: 400 | message: The type of the query parameters are invalid or some parameters are missing | details: invalid query parameters 
Timestamp: 2025-10-21T19:09:27.174Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-21T19:09:33.488Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-21T19:10:50.867Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-21T19:11:44.597Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-21T19:13:12.336Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-22T05:57:22.095Z | statusCode: 400 | message: The type of the query parameters are invalid or some parameters are missing | details: invalid query parameters 
Timestamp: 2025-10-22T05:58:04.080Z | statusCode: 400 | message: The type of the query parameters are invalid or some parameters are missing | details: invalid query parameters 
Timestamp: 2025-10-22T06:12:29.055Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-22T06:12:33.945Z | statusCode: 400 | message: The type of the query parameters are invalid or some parameters are missing | details: invalid query parameters 
Timestamp: 2025-10-22T06:16:33.636Z | statusCode: undefined | message: newAnalyzedString is not a function | details: undefined 
Timestamp: 2025-10-22T06:16:57.105Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-22T06:19:01.444Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-22T06:35:30.470Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-22T06:56:05.372Z | statusCode: 500 | message: SQLITE_ERROR: near "*": syntax error | details: Error deleting data 
Timestamp: 2025-10-22T07:04:27.212Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:07:19.183Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:08:09.484Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:08:52.554Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:09:42.789Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:09:45.693Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:09:46.811Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:09:48.181Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:09:48.808Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:09:49.358Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:09:50.761Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:10:44.548Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:11:54.830Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:14:06.777Z | statusCode: 404 | message:  | details: String not found 
Timestamp: 2025-10-22T07:27:36.490Z | statusCode: 400 | message: Unexpected number in JSON at position 12 (line 2 column 11) | details: undefined 
Timestamp: 2025-10-22T07:27:51.304Z | statusCode: 422 | message: value must be of data type 'string' | details: Invalid value 
Timestamp: 2025-10-22T07:31:52.713Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-22T07:31:58.088Z | statusCode: 409 | message:  | details: String already analyzed 
Timestamp: 2025-10-22T07:34:29.546Z | statusCode: 409 | message:  | details: String already analyzed 
